Rank	Title	Status	Study Results	Conditions	Interventions	Locations	URL
1	In Vivo Efficacy of Artemether-Lumefantrine and Artesunate-Amodiaquine for Uncomplicated P. Falciparum Malaria	Completed	No Results Available	MALARIA, FALCIPARUM	Drug: artemether-lumefantrine (AL)|Drug: artesunate-amodiaquine (ASAQ)	Malaria Alert Center, University of Malawi College of Medicine, Blantyre, Malawi, Blantyre, Malawi	https://ClinicalTrials.gov/show/NCT02637128
2	Methylene Blue Against Falciparum Malaria in Burkina Faso	Completed	No Results Available	Malaria, Falciparum	Drug: Methylene Blue|Drug: Primaquine	CRSN, Nouna, Burkina Faso	https://ClinicalTrials.gov/show/NCT02851108
3	A Pharmacokinetic/Pharmacodynamic Study of Eurartesim Dispersible Formulation in Infants With P.Falciparum Malaria	Completed	No Results Available	Malaria,Falciparum	Drug: Eurartesim dispersible oral tablet|Drug: eurartesim film coated tablet	Centre Muraz, Bobo Dioulasso, Burkina Faso|Centre National de Recherche et de Formation en Paludisme, Ouagadougou, Burkina Faso|Kinshasa School of Public Health, School of Medicine, University of Kinshasa, Kinshasa, Congo, The Democratic Republic of the|Medical Research Council, Fajara, Gambia|Manica's Health Research Centre, Manica, Mozambique|Bagamoyo Research center, Ifakara Heath Institute, Bagamoyo, Tanzania|National Insititute for Medical Research, Tanga, Tanzania	https://ClinicalTrials.gov/show/NCT01992900
4	Amodiaquine Plus Artesunate Versus Lapdap Plus Artesunate in the Treatment of Uncomplicated P. Falciparum Malaria in Malawi	Completed	No Results Available	Malaria, Falciparum	Drug: Amodiaquine plus artesunate|Drug: chlorproguanil-dapsone plus artesunate	Kawale Health Center, Lilongwe, Lilongwe District, Malawi|Machinga District Hospital, Liwonde, Machinga District, Malawi|Matiki Health Center, Dwangwa, Nkhotakota District, Malawi	https://ClinicalTrials.gov/show/NCT00164359
5	Efficacy and Safety of Pyronaridine-artesunate for the Treatment in Uncomplicated Falciparum Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: Pyronaridine-artesunate	Tasanh Health Centre, Battambang, Battambang, Cambodia|Referral hospital (Pailin), Pailin, Cambodia|Promoy Health Centre (Pursat), Pursat), Cambodia	https://ClinicalTrials.gov/show/NCT02389439
6	Azithromycin Plus Chloroquine Versus Artemether-Lumefantrine For The Treatment Of Uncomplicated P. Falciparum Malaria In Children In Africa	Completed	Has Results	Malaria, Falciparum	Drug: Azithromycin plus Chloroquine|Drug: Artemether-lumefantrine	Pfizer Investigational Site, Nouna, Burkina Faso|Pfizer Investigational Site, Ouagadougou 01, Burkina Faso|Pfizer Investigational Site, Ouagadougou, Burkina Faso|Pfizer Investigational Site, Abidjan 13, Côte D'Ivoire|Pfizer Investigational Site, Navrongo, Ghana|Pfizer Investigational Site, Kisumu, Kenya|Pfizer Investigational Site, Bamako, West Africa, Mali|Pfizer Investigational Site, Sikasso, West Africa, Mali	https://ClinicalTrials.gov/show/NCT00677833
7	Artemisinin-based Combination Therapy for Treatment of Plasmodium Falciparum Malaria in North Sumatera, Indonesia	Completed	No Results Available	Malaria, Falciparum	Drug: Dihydroartemisinin-Piperaquine|Drug: Artemether-lumefantrine	Primary health centres, Kuala Langkat, North Sumatera, Indonesia|Primary health centres, Tanjung Tiram, North Sumatera, Indonesia|Pulau-pulau Batu health centres, Tello island, North Sumatera, Indonesia	https://ClinicalTrials.gov/show/NCT02325180
8	Sevuparin/DF02 as an Adjunctive Therapy in Subjects Affected With Uncomplicated Falciparum Malaria	Terminated	No Results Available	Malaria, Falciparum	Drug: Sevuparin sodium + atovaquone/proquanil|Drug: atovaquone/proquanil	Mae Ramat Hospital, Mae Ramat, Tak province, Thailand|Maesot General hospital, Mae Sot, Tak Province, Thailand|Hospital for Tropical Diseases, Bangkok, Thailand	https://ClinicalTrials.gov/show/NCT01442168
9	Randomised Efficacy Study of Two Artemether-Lumefantrine Oral Formulations for the Treatment of Uncomplicated P. Falciparum Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: Artemether/lumefantrine tablets|Drug: Artemether/Lumefantrine suspension	Chulaimbo Health Centre, Kisumu, Nyanza, Kenya	https://ClinicalTrials.gov/show/NCT00529867
10	Efficacy of Artemether-lumefantrine, Artesunate-amodiaquine and Dihydroartemisinin-piperaquine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria in Malawi	Completed	No Results Available	Malaria, Falciparum	Drug: Artemether-lumefantrine combination|Drug: Artesunate-amodiaquine combination|Drug: Dihydroartemisinin-piperaquine	Machinga District Hospital, Liwonde, Malawi	https://ClinicalTrials.gov/show/NCT01326754
11	Extended-dose Chloroquine (ECQ) for Resistant Falciparum Malaria Among Afghan Refugees in Pakistan	Completed	No Results Available	Malaria, Falciparum	Drug: Chloroquine	Adezai Basic Health Unit, Adezai, Nwfp, Pakistan|Baghicha Basic Health Unit, Baghicha, Nwfp, Pakistan|Kagan Basic Health Unit, Kagan, Nwfp, Pakistan	https://ClinicalTrials.gov/show/NCT01019408
12	Arginine Malaria Trial: Study of Adjunctive Arginine in Falciparum Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: intravenous (IV) arginine	RSMM Hospital, Timika, Indonesia	https://ClinicalTrials.gov/show/NCT00147368
13	Azithromycin Plus Chloroquine Versus Atovaquone-Proguanil For The Treatment Of Uncomplicated Plasmodium Falciparum Malaria In South America	Completed	No Results Available	Malaria, Falciparum	Drug: Azithromycin/Chloroquine|Drug: Atovaquone/Proguanil		https://ClinicalTrials.gov/show/NCT00084227
14	Azithromycin Plus Chloroquine Versus Sulfadoxine-Pyrimethamine Plus Chloroquine For The Treatment Of Uncomplicated, Symptomatic Falciparum Malaria In Southeast Asia	Terminated	No Results Available	Malaria, Falciparum	Drug: Azithromycin/Chloroquine|Drug: Sulfadoxine-Pyrimethamine/Chloroquine		https://ClinicalTrials.gov/show/NCT00084240
15	Study to Compare the Triple ACT AL+AQ With the ACT AL in Cambodia and Vietnam	Recruiting	No Results Available	Malaria, Falciparum	Drug: ACT|Drug: TACT	Siem Pang Health Center, Siem Pang, Stung Treng, Cambodia|Pailin Referral Hospital, Pailin, Cambodia|Hospital for Tropical Diseases of Khanh Hoa,, Van Ninh, Khanh Hoa, Vietnam|Phuoc Long Hospital, Phuoc Long, Phuoc, Vietnam	https://ClinicalTrials.gov/show/NCT03355664
16	Artesunate+Sulfadoxine-Pyrimethamine for the Treatment of Uncomplicated Falciparum Malaria	Completed	No Results Available	Falciparum Malaria	Drug: artesunate plus sulfadoxine-pyrimethamine (AS+SP)	Provincial Malaria Control Centers (MRC), Maimana, Faryab, Afghanistan|Provincial Malaria Control Centers (MRC), Asadabad, Kunar, Afghanistan|Provincial Malaria Control Centers (MRC), Jalalabad, Nangarhar, Afghanistan|Provincial Malaria Control Centers (MRC), Taloqan, Afghanistan	https://ClinicalTrials.gov/show/NCT01115439
17	VAC077: Safety and Immunogenicity of the Pfs25-IMX313/Matrix-M Vaccine	Recruiting	No Results Available	Malaria,Falciparum	Biological: Pfs25-IMX313/Matrix-M1	CCVTM, University of Oxford, Churchill Hospital, Oxford, United Kingdom	https://ClinicalTrials.gov/show/NCT04130282
18	Safety and Preliminary Efficacy of L-arginine in Severe Falciparum Malaria	Suspended	No Results Available	Severe Falciparum Malaria	Drug: L-arginine hydrochloride|Other: Normal saline	Mitra Masyarakat Hospital, Timika, Papua, Indonesia	https://ClinicalTrials.gov/show/NCT00616304
19	Effectiveness of Artemisinin Combination Regimens in Falciparum Malaria	Unknown status	No Results Available	Uncomplicated Falciparum Malaria	Drug: AM(FDC)|Drug: AM(LT)|Drug: AL|Drug: DP|Drug: AA(FDC)	Dabhine and Mingan Clinic, Sittwe, Rakhine, Myanmar|Myit Kyi Nar Clinic, Kachin, Myanmar|Myothugyi Rural Health Center, Bu Thee Daung, Maungdaw, Myanmar|Lashio Clinic, Shan, Myanmar	https://ClinicalTrials.gov/show/NCT00902811
20	A Study by the Tracking Resistance to Artemisinin Collaboration (TRAC)	Completed	No Results Available	Malaria, Falciparum	Drug: ACT|Drug: TACT	College of Medicine Chittagong, Ramu, Bangladesh|Pailin, Pailin, Cambodia|Preah Vihear, Preah Vihear, Cambodia|Pursat, Pursat, Cambodia|Ratanakiri, Ratankiri, Cambodia|Kinshasa, Kinshasa, Congo, The Democratic Republic of the|Mohanpur Community health center, Agartala, India|Midnapore, Midnapore, India|Ispat General hospital, Rourkela, India|Sekong, Sekong, Lao People's Democratic Republic|Ann Hospital, Ann, Myanmar|Pyay hospital, Pyay, Myanmar|Pyin oo Lwin hospital, Pyin oo Lwin, Myanmar|Thabeikkyin hospital, Thabeikkyin, Myanmar|Phusing hospital, Phusing, Srisaket, Thailand|Tha Song Yang hospital, Tha Song Yang, Tak, Thailand|Chumphon hospital, Chumphon, Thailand|Kunhan Hospital, Si Sa Ket, Thailand|Thanto Hospital, Yala, Thailand|Binh Phuoc hospital, Binh Phuoc, Vietnam	https://ClinicalTrials.gov/show/NCT02453308
21	Efficacy Study of Amodiaquine-Artesunate and Artemether-Lumefantrine for the Treatment of Uncomplicated Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: ASAQ Winthrop® Sanofi Aventis|Drug: Coartem®, Novartis	General reference hospital of Chamfubu, Pweto, Katanga, Congo, The Democratic Republic of the	https://ClinicalTrials.gov/show/NCT01567423
22	Pilot Study to Estimate the Burden and Distribution of Plasmodium Falciparum Malaria in Kalifabougou, Mali in Preparation for a Prospective Cohort Study of Naturally-Acquired Malaria Immunity	Completed	No Results Available	Malaria, Falciparum|Plasmodium Falciparum		Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT01160562
23	Artemisone for the Treatment of Uncomplicated Falciparum Malaria in Western Cambodia	Withdrawn	No Results Available	Uncomplicated Falciparum Malaria	Drug: Artemisone/Mefloquine (AmiM3)|Drug: Artesunate	Pailin Hospital, Pailin, Cambodia	https://ClinicalTrials.gov/show/NCT00936767
24	Efficacy and Safety of Artesunate + Amodiaquine With SLD of Primaquine for Treatment of Falciparum Malaria in Zanzibar	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artesunate-amodiaquine given with single low dose primaquine	Micheweni, Bububu Jesheni, and Uzini, Zanzibar, Tanzania	https://ClinicalTrials.gov/show/NCT03773536
25	Efficacy of Artesunate + Amodiaquine Versus Artemether-lumefantrine for Falciparum Malaria in Zanzibar, 2005	Completed	No Results Available	Plasmodium Falciparum Malaria	Drug: Artemether-lumefantrine|Drug: Artesunate + Amodiaquine		https://ClinicalTrials.gov/show/NCT03768908
26	Efficacy and Safety of ASAQ and PD for the Treatment of Uncomplicated Falciparum Malaria in Mainland Tanzania	Completed	No Results Available	Uncomplicated Falciparum Malaria	Drug: Artesunate amodiaquine	National Institute for Medical Research, Tanga, Tanzania	https://ClinicalTrials.gov/show/NCT03431714
27	Artemether-lumefantrine Resistance Monitoring in Children With Uncomplicated Plasmodium Falciparum Malaria in Mali	Completed	No Results Available	Accute Falciparum Malaria		Malaria Research and Training Center, Bamako, Mali	https://ClinicalTrials.gov/show/NCT02645604
28	Evaluation of the Gametocytocidal Efficacy and Safety of Primaquine in Uncomplicated Falciparum Malaria in Uganda	Completed	No Results Available	Falciparum Malaria	Drug: Primaquine	Walukuba Health Centre IV, Jinja, Eastern Region, Uganda	https://ClinicalTrials.gov/show/NCT01365598
29	Imatinib's Effect on the Suppression of Malaria Parasites in Patients With Uncomplicated Plasmodium Falciparum Malaria	Unknown status	No Results Available	Plasmodium Falciparum Malaria	Drug: Imatinib|Drug: Dihydroartemisinin-piperaquine	A Tuc, Huong Hoa, Quang Tri, Vietnam	https://ClinicalTrials.gov/show/NCT02614404
30	Phase II Efficacy Study of Artefenomel & Piperaquine in Adults & Children With P. Falciparum Malaria.	Completed	Has Results	Uncomplicated Plasmodium Falciparum Malaria	Drug: Artefenomel 800mg: piperaquine 640mg|Drug: Artefenomel 800mg: piperaquine 960mg|Drug: Artefenomel 800mg: piperaquine 1440mg	Centre D'Étude Et de Recherchesur Le Paludisme Associé À La Grossesse Et À L'Enfance (Cerpage) Cerpage, Cotonou, Benin|Centre National de Recherche et de Formation sur le paludisme (CNRFP) Ouagadougou, Kadiogo, Ouagadougou, Burkina Faso|Clinical research Unit of Nanoro (CRUN)/CMA Saint Camille de Nanoro, 11 BP 218 Ouagadougou CMS 11, Ouagadougou, Burkina Faso|Kinshasa School of Public Health, School of Medicine University of Kinshasa, Kinshasa, Congo, The Democratic Republic of the|Centre de Recherches Medicales de Lambarene, Albert Schweitzer Hospital, Lambarene, Gabon|arielle K. Bouyou-Akotet, Department of Parasitology-Mycology and Tropical Medicine, Faculty of Medicine, Université des Sciences de la Santé, BP 4009, Libreville, Gabon, Libreville, Gabon|MANHIÇA HEALTH RESEARCH CENTER, Rua 12, Vila da Manhica, Maputa,, Chefe Maputa, Mozambique|Tororo District Hospital, Tororo, Uganda|National Institute of Malariology, Parasitology and Entomology, 245 Luong The Vinh Street, Trung van, Tu Liem, Hanoi, Vietnam, Hanoi, Vietnam	https://ClinicalTrials.gov/show/NCT02083380
31	Randomized Trial on Effectiveness of ACTs in Ghana	Terminated	No Results Available	Malaria, Falciparum	Drug: Artesunate plus Amodiaquine|Drug: Artemether-Lumefantrine	Agogo Presbyterian Hospital, Agogo, Asante Akim North District, Ghana	https://ClinicalTrials.gov/show/NCT00374205
32	Chlorproguanil-Dapsone-Artesunate (CDA) Versus Chlorproguanil-Dapsone (LAPDAP) For Uncomplicated Malaria	Completed	No Results Available	Malaria, Falciparum	Drug: chlorproguanil-dapsone-artesunate|Drug: chlorproguanil-dapsone	GSK Investigational Site, Ouagadougou, Burkina Faso|GSK Investigational Site, Kumasi, Ghana|GSK Investigational Site, Bamako, Mali|GSK Investigational Site, Ile-Ife, Nigeria|GSK Investigational Site, Jos, Nigeria|GSK Investigational Site, Lagos, Nigeria|GSK Investigational Site, Maiduguri, Nigeria	https://ClinicalTrials.gov/show/NCT00371735
33	Effectiveness of the Association Artesunate and Mefloquine in the Treatment of Malaria by Plasmodium Falciparum	Completed	No Results Available	Falciparum Malaria	Drug: artesunate & mefloquine combination	Oswaldo Cruz Foundation, Rio de Janeiro, Brazil|Institute of Biomedical Sciences, University of Sao Paulo, São Paulo, Brazil	https://ClinicalTrials.gov/show/NCT01144702
