avg_score	original_tax_id	orig_organism	pref_name	chembl_id	mechanism_of_action	max_phase	first_approval
436.5500000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619	Human immunodeficiency virus type 1 reverse transcriptase inhibitor	4	1998
553.1500000000000000	9606	Homo sapiens	ABALOPARATIDE	CHEMBL3301581	Parathyroid hormone receptor agonist	4	2017
942.4000000000000000	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584	Integrin alpha-V/beta-3 inhibitor	4	1993
528.8333333333333333	9606	Homo sapiens	ABEDITEROL	CHEMBL3039530	Beta-2 adrenergic receptor agonist	2	
273.4500000000000000	9606	Homo sapiens	ABIRATERONE	CHEMBL254328	Steroid 5-alpha-reductase inhibitor	4	
942.4000000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Integrin alpha-V/beta-3 inhibitor	2	
284.4000000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Integrin alpha-V/beta-6 inhibitor	2	
261.1150000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Vitronectin receptor alpha inhibitor	2	
247.0000000000000000	9606	Homo sapiens	ABX-IL8	CHEMBL2109616	Interleukin-8 inhibitor	2	
281.5071428571428571	9606	Homo sapiens	AC-480	CHEMBL1645462	Receptor protein-tyrosine kinase erbB-2 inhibitor	1	
707.3500000000000000	9606	Homo sapiens	ACALISIB	CHEMBL3545397	PI3-kinase p110-delta subunit inhibitor	2	
232.8750000000000000	9606	Homo sapiens	ACARBOSE	CHEMBL1566	Maltase-glucoamylase inhibitor	4	1995
883.3000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Cyclooxygenase-2 inhibitor	4	
2079.1000000000000000	9606	Homo sapiens	ACENOCOUMAROL	CHEMBL397420	Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor	4	
1219.9000000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Anandamide amidohydrolase inhibitor	4	1968
277.5428571428571429	9606	Homo sapiens	ACETAZOLAMIDE	CHEMBL20	Carbonic anhydrase I inhibitor	4	1953
696.7000000000000000	9606	Homo sapiens	ACETAZOLAMIDE	CHEMBL20	Carbonic anhydrase XII inhibitor	4	1953
277.5428571428571429	9606	Homo sapiens	ACETAZOLAMIDE SODIUM	CHEMBL1200814	Carbonic anhydrase I inhibitor	4	1990
696.7000000000000000	9606	Homo sapiens	ACETAZOLAMIDE SODIUM	CHEMBL1200814	Carbonic anhydrase XII inhibitor	4	1990
369.8000000000000000	9606	Homo sapiens	ACRIVASTINE	CHEMBL1224	Histamine H1 receptor antagonist	4	1994
509.6500000000000000	11676	Human immunodeficiency virus 1	AD-159	CHEMBL2109444	Envelope glycoprotein gp160 inhibitor	2	
549.4000000000000000	9606	Homo sapiens	ADAPALENE	CHEMBL1265	Retinoic acid receptor agonist	4	1996
281.5071428571428571	9606	Homo sapiens	AEE-788	CHEMBL587723	Receptor protein-tyrosine kinase erbB-2 inhibitor	2	
556.0000000000000000	9606	Homo sapiens	AEE-788	CHEMBL587723	Vascular endothelial growth factor receptor 1 inhibitor	2	
271.0421052631578947	9606	Homo sapiens	AEE-788	CHEMBL587723	Vascular endothelial growth factor receptor 2 inhibitor	2	
249.7133333333333333	9606	Homo sapiens	AFACIFENACIN	CHEMBL3545165	Sodium channel protein type X alpha subunit blocker	2	
281.5071428571428571	9606	Homo sapiens	AFATINIB DIMALEATE	CHEMBL2105712	Receptor protein-tyrosine kinase erbB-2 inhibitor	4	2013
389.3000000000000000	9606	Homo sapiens	AFIMOXIFENE	CHEMBL10041	Estrogen-related receptor gamma antagonist	2	
245.4666666666666667	9606	Homo sapiens	AFLIBERCEPT	CHEMBL1742982	Vascular endothelial growth factor A inhibitor	4	2011
887.4000000000000000	9606	Homo sapiens	AG-24322	CHEMBL3545420	Cyclin-dependent kinase 1 inhibitor	1	
244.1000000000000000	9606	Homo sapiens	AHN-12	CHEMBL2109480	Leukocyte common antigen binding agent	1	
271.0421052631578947	9606	Homo sapiens	ALACIZUMAB PEGOL	CHEMBL1742983	Vascular endothelial growth factor receptor 2 antagonist	2	
263.1500000000000000	2	Bacteria	ALATROFLOXACIN MESYLATE	CHEMBL1200498	Bacterial DNA gyrase inhibitor	4	1997
262.6312500000000000	2	Bacteria	ALATROFLOXACIN MESYLATE	CHEMBL1200498	Topoisomerase IV inhibitor	4	1997
224.4000000000000000	9606	Homo sapiens	ALBIGLUTIDE	CHEMBL2107841	Glucagon-like peptide 1 receptor agonist	4	2014
528.8333333333333333	9606	Homo sapiens	ALBUTEROL	CHEMBL714	Beta-2 adrenergic receptor agonist	4	1981
528.8333333333333333	9606	Homo sapiens	ALBUTEROL SULFATE	CHEMBL1201026	Beta-2 adrenergic receptor agonist	4	1982
369.8000000000000000	9606	Homo sapiens	ALCAFTADINE	CHEMBL1201747	Histamine H1 receptor antagonist	4	2010
233.5000000000000000	9606	Homo sapiens	ALCURONIUM	CHEMBL1180293	Muscarinic acetylcholine receptor M2 positive allosteric modulator	4	
292.7850000000000000	9606	Homo sapiens	ALECTINIB HYDROCHLORIDE	CHEMBL3707320	Tyrosine-protein kinase receptor RET inhibitor	4	2015
353.0000000000000000	9606	Homo sapiens	ALEGLITAZAR	CHEMBL519504	Peroxisome proliferator-activated receptor gamma agonist	3	
281.5071428571428571	9606	Homo sapiens	ALLITINIB	CHEMBL3545244	Receptor protein-tyrosine kinase erbB-2 inhibitor	1	
556.7750000000000000	9606	Homo sapiens	ALLYLESTRENOL	CHEMBL2105618	Progesterone receptor agonist	4	
263.3266666666666667	9606	Homo sapiens	ALMOTRIPTAN MALATE	CHEMBL1200521	Serotonin 1b (5-HT1b) receptor agonist	4	2001
