avg_score	original_tax_id	orig_organism	pref_name	chembl_id	journal	year	volume	issue	first_page	last_page	pubmed_id	doi	title	authors
949.8000000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619	Antimicrob. Agents Chemother.	2008	52	8	2825	2830	18541728	10.1128/aac.00434-08	Impact of nucleoside reverse transcriptase inhibitors on mitochondrial DNA and RNA in human skeletal muscle cells.	Saitoh A, Haas RH, Naviaux RK, Salva NG, Wong JK, Spector SA.
949.8000000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619	Antimicrob. Agents Chemother.	2009	53	9	3715	3719	19596885	10.1128/aac.00392-09	Anti-human immunodeficiency virus activity, cross-resistance, cytotoxicity, and intracellular pharmacology of the 3'-azido-2',3'-dideoxypurine nucleosides.	Sluis-Cremer N, Koontz D, Bassit L, Hernandez-Santiago BI, Detorio M, Rapp KL, Amblard F, Bondada L, Grier J, Coats SJ, Schinazi RF, Mellors JW.
949.8000000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619									Unpublished dataset	
949.8000000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619									USP Dictionary of USAN and International Names (2010 edition) and USAN registrations 2007-date	
886.3666666666666667	9606	Homo sapiens	ABALOPARATIDE	CHEMBL3301581									Unpublished dataset	
886.3666666666666667	9606	Homo sapiens	ABALOPARATIDE	CHEMBL3301581									USP Dictionary of USAN and International Names (2010 edition) and USAN registrations 2007-date	
1878.0666666666666667	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584									British National Formulary (72nd edition)	
1878.0666666666666667	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584									Unpublished dataset	
1878.0666666666666667	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584									USP Dictionary of USAN and International Names (2010 edition) and USAN registrations 2007-date	
1878.0666666666666667	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584									WHO Anatomical Therapeutic Chemical Classification	
1878.0666666666666667	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621									Unpublished dataset	
924.8000000000000000	9606	Homo sapiens	ABL-001	CHEMBL3545115									Unpublished dataset	
886.5000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Bioorg. Med. Chem. Lett.	2003	13	16	2749	2754	12873507	10.1016/s0960-894x(03)00535-3	Topological virtual screening: a way to find new anticonvulsant drugs from chemical diversity.	Bruno-Blanch L, Gálvez J, García-Domenech R.
