avg_score	original_tax_id	orig_organism	pref_name	chembl_id	mechanism_of_action	max_phase	first_approval
186.4000000000000000	9606	Homo sapiens	4SC-203	CHEMBL3545358	Tyrosine-protein kinase receptor FLT3 inhibitor	1	
1000.9333333333333333	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619	Human immunodeficiency virus type 1 reverse transcriptase inhibitor	4	1998
857.9333333333333333	9606	Homo sapiens	ABALOPARATIDE	CHEMBL3301581	Parathyroid hormone receptor agonist	4	2017
1894.5000000000000000	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584	Integrin alpha-V/beta-3 inhibitor	4	1993
329.4000000000000000	9606	Homo sapiens	ABEDITEROL	CHEMBL3039530	Beta-2 adrenergic receptor agonist	2	
194.9000000000000000	9606	Homo sapiens	ABEMACICLIB	CHEMBL3301610	Cyclin-dependent kinase 4 inhibitor	4	2017
218.4600000000000000	9606	Homo sapiens	ABEMACICLIB	CHEMBL3301610	Cyclin-dependent kinase 6 inhibitor	4	2017
265.3000000000000000	9606	Homo sapiens	ABIRATERONE	CHEMBL254328	Cytochrome P450 17A1 inhibitor	4	
239.4246575342465753	9606	Homo sapiens	ABIRATERONE	CHEMBL254328	Steroid 5-alpha-reductase inhibitor	4	
265.3000000000000000	9606	Homo sapiens	ABIRATERONE ACETATE	CHEMBL271227	Cytochrome P450 17A1 inhibitor	4	2011
1894.5000000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Integrin alpha-V/beta-3 inhibitor	2	
267.6000000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Integrin alpha-V/beta-6 inhibitor	2	
237.0920000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Vitronectin receptor alpha inhibitor	2	
479.5666666666666667	9606	Homo sapiens	ABT-560	CHEMBL3707354	Neuronal acetylcholine receptor; alpha4/beta2 modulator	0	
673.9400000000000000	9606	Homo sapiens	AC-480	CHEMBL1645462	Epidermal growth factor receptor erbB1 inhibitor	1	
231.3809523809523810	9606	Homo sapiens	AC-480	CHEMBL1645462	Receptor protein-tyrosine kinase erbB-2 inhibitor	1	
