avg_score	original_tax_id	orig_organism	pref_name	chembl_id	mechanism_of_action	max_phase	first_approval
615.5000000000000000	11676	Human immunodeficiency virus 1	ABACAVIR SULFATE	CHEMBL1200619	Human immunodeficiency virus type 1 reverse transcriptase inhibitor	4	1998
535.1000000000000000	9606	Homo sapiens	ABALOPARATIDE	CHEMBL3301581	Parathyroid hormone receptor agonist	4	2017
1228.4000000000000000	9606	Homo sapiens	ABCIXIMAB	CHEMBL1201584	Integrin alpha-V/beta-3 inhibitor	4	1993
715.6500000000000000	9606	Homo sapiens	ABEDITEROL	CHEMBL3039530	Beta-2 adrenergic receptor agonist	2	
1228.4000000000000000	9606	Homo sapiens	ABITUZUMAB	CHEMBL2109621	Integrin alpha-V/beta-3 inhibitor	2	
415.5000000000000000	9606	Homo sapiens	ABX-IL8	CHEMBL2109616	Interleukin-8 inhibitor	2	
388.4000000000000000	9606	Homo sapiens	AC-480	CHEMBL1645462	Receptor protein-tyrosine kinase erbB-2 inhibitor	1	
696.9500000000000000	9606	Homo sapiens	ACALISIB	CHEMBL3545397	PI3-kinase p110-delta subunit inhibitor	2	
876.8000000000000000	9606	Homo sapiens	ACECLOFENAC	CHEMBL93645	Cyclooxygenase-2 inhibitor	4	
2250.9000000000000000	9606	Homo sapiens	ACENOCOUMAROL	CHEMBL397420	Vitamin k epoxide reductase complex subunit 1 isoform 1 inhibitor	4	
1958.6000000000000000	9606	Homo sapiens	ACETAMINOPHEN	CHEMBL112	Anandamide amidohydrolase inhibitor	4	1968
691.5000000000000000	9606	Homo sapiens	ACETAZOLAMIDE	CHEMBL20	Carbonic anhydrase XII inhibitor	4	1953
691.5000000000000000	9606	Homo sapiens	ACETAZOLAMIDE SODIUM	CHEMBL1200814	Carbonic anhydrase XII inhibitor	4	1990
637.2500000000000000	11676	Human immunodeficiency virus 1	AD-159	CHEMBL2109444	Envelope glycoprotein gp160 inhibitor	2	
595.1500000000000000	9606	Homo sapiens	ADAPALENE	CHEMBL1265	Retinoic acid receptor agonist	4	1996
388.4000000000000000	9606	Homo sapiens	AEE-788	CHEMBL587723	Receptor protein-tyrosine kinase erbB-2 inhibitor	2	
530.4000000000000000	9606	Homo sapiens	AEE-788	CHEMBL587723	Vascular endothelial growth factor receptor 1 inhibitor	2	
443.0666666666666667	9606	Homo sapiens	AEE-788	CHEMBL587723	Vascular endothelial growth factor receptor 2 inhibitor	2	
388.4000000000000000	9606	Homo sapiens	AFATINIB DIMALEATE	CHEMBL2105712	Receptor protein-tyrosine kinase erbB-2 inhibitor	4	2013
455.5500000000000000	9606	Homo sapiens	AFIMOXIFENE	CHEMBL10041	Estrogen-related receptor gamma antagonist	2	
