avg_score	original_tax_id	orig_organism	pref_name	chembl_id	orf	journal	year	volume	issue	first_page	last_page	pubmed_id	doi	title	authors
4350.9	1773	Mycobacterium tuberculosis	CAPREOMYCIN SULFATE	CHEMBL2218913	MN908947.3_281	Chem. Res. Toxicol.	2010	23	7	1215	1222	20553011	10.1021/tx1000865	Developing structure-activity relationships for the prediction of hepatotoxicity.	"Greene N, Fisk L, Naven RT, Note RR, Patel ML, Pelletier DJ."
4350.9	1773	Mycobacterium tuberculosis	CAPREOMYCIN SULFATE	CHEMBL2218913	MN908947.3_281	Mol. Pharmacol.	2013	83	6	1257	1267	23571415	10.1124/mol.112.084152	Structure-based identification of OATP1B1/3 inhibitors.	"De Bruyn T, van Westen GJ, Ijzerman AP, Stieger B, de Witte P, Augustijns PF, Annaert PP."
4350.9	1773	Mycobacterium tuberculosis	CAPREOMYCIN SULFATE	CHEMBL2218913	MN908947.3_281									Unpublished dataset	
4350.9	1773	Mycobacterium tuberculosis	CAPREOMYCIN SULFATE	CHEMBL2218913	MN908947.3_281									USP Dictionary of USAN and International Names (2010 edition) and USAN registrations 2007-date	
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	1992	35	7	1212	1215	1560435	10.1021/jm00085a007	Antimycobacterial activity of a series of pyrazinoic acid esters.	"Cynamon MH, Klemens SP, Chou TS, Gimi RH, Welch JT."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	1995	38	20	3902	3907	7562923	10.1021/jm00020a003	Pyrazinoic acid esters with broad spectrum in vitro antimycobacterial activity.	"Cynamon MH, Gimi R, Gyenes F, Sharpe CA, Bergmann KE, Han HJ, Gregor LB, Rapolu R, Luciano G, Welch JT."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	1998	41	13	2436	2438	9632376	10.1021/jm9708745	Antimycobacterial activity of substituted isosteres of pyridine- and pyrazinecarboxylic acids.	"Wächter GA, Davis MC, Martin AR, Franzblau SG."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	1998	8	7	843	846	9871552	10.1016/s0960-894x(98)00126-7	Syntheses and evaluation of benzodiazaborine compounds against M. tuberculosis H37Rv in vitro.	"Davis MC, Franzblau SG, Martin AR."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	2000	43	17	3304	3314	10966749	10.1021/jm000149l	A new class of antituberculosis agents.	"Jones PB, Parrish NM, Houston TA, Stapon A, Bansal NP, Dick JD, Townsend CA."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	2001	44	10	1560	1563	11334565	10.1021/jm000350w	Antimycobacterial activity of substituted isosteres of pyridine- and pyrazinecarboxylic acids. 2.	"Gezginci MH, Martin AR, Franzblau SG."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Farmaco	2002	57	2	135	144	11902656	10.1016/s0014-827x(01)01187-9	"Ring substituted 3-phenyl-1-(2-pyrazinyl)-2-propen-1-ones as potential photosynthesis-inhibiting, antifungal and antimycobacterial agents."	"Opletalová V, Hartl J, Patel A, Palát K, Buchta V."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2003	13	10	1755	1757	12729658	10.1016/s0960-894x(03)00241-5	Anilinopyrimidines as novel antituberculosis agents.	"Morgan J, Haritakul R, Keller PA."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Gastroenterol Clin Biol	2004	28	9-Aug	720	759	15646539	10.1016/s0399-8320(04)95062-2	[Drug-induced liver injury; fourteenth updated edition of the bibliographic database of liver injuries and related drugs].	"Biour M, Ben Salem C, Chazouillères O, Grangé JD, Serfaty L, Poupon R."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2006	16	8	2113	2116	16464574	10.1016/j.bmcl.2006.01.064	Synthesis of pyrazinamide Mannich bases and its antitubercular properties.	"Sriram D, Yogeeswari P, Reddy SP."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	PLoS Med.	2006	3	11	e466	e466	17132069	10.1371/journal.pmed.0030466	"OPC-67683, a nitro-dihydro-imidazooxazole derivative with promising action against tuberculosis in vitro and in mice."	"Matsumoto M, Hashizume H, Tomishige T, Kawasaki M, Tsubouchi H, Sasaki H, Shimokawa Y, Komatsu M."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem.	2007	15	7	2551	2559	17306980	10.1016/j.bmc.2007.01.051	A new modification of anti-tubercular active molecules.	"Imramovský A, Polanc S, Vinsová J, Kocevar M, Jampílek J, Recková Z, Kaustová J."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2007	17	1	86	93	17046250	10.1016/j.bmcl.2006.09.082	"Microwave prompted multigram synthesis, structural determination, and photo-antiproliferative activity of fluorinated 4-hydroxyquinolinones."	"Arya K, Agarwal M."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Nat. Chem. Biol.	2007	3	5	268	273	17417631	10.1038/nchembio873	Chemical genetics reveals a complex functional ground state of neural stem cells.	"Diamandis P, Wildenhain J, Clarke ID, Sacher AG, Graham J, Bellows DS, Ling EK, Ward RJ, Jamieson LG, Tyers M, Dirks PB."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	12	4495	4497	17876006	10.1128/aac.00753-07	Pyrrolidine dithiocarbamate and diethyldithiocarbamate are active against growing and nongrowing persister Mycobacterium tuberculosis.	"Byrne ST, Gu P, Zhou J, Denkin SM, Chong C, Sullivan D, Liu JO, Zhang Y."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	2	752	754	17101678	10.1128/aac.01369-06	Pyrazinoic acid and its n-propyl ester inhibit fatty acid synthase type I in replicating tubercle bacilli.	"Zimhony O, Vilchèze C, Arai M, Welch JT, Jacobs WR."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	3	1011	1015	17178794	10.1128/aac.00898-06	Synergistic activity of R207910 combined with pyrazinamide against murine tuberculosis.	"Ibrahim M, Andries K, Lounis N, Chauffour A, Truffot-Pernot C, Jarlier V, Veziris N."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	4	1380	1385	17210775	10.1128/aac.00055-06	Low-oxygen-recovery assay for high-throughput screening of compounds against nonreplicating Mycobacterium tuberculosis.	"Cho SH, Warit S, Wan B, Hwang CH, Pauli GF, Franzblau SG."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	6	2092	2099	17420206	10.1128/aac.00052-07	PhoU is a persistence switch involved in persister formation and tolerance to multiple antibiotics and stresses in Escherichia coli.	"Li Y, Zhang Y."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	7	2430	2435	17485499	10.1128/aac.01458-06	Inhibition of isolated Mycobacterium tuberculosis fatty acid synthase I by pyrazinamide analogs.	"Ngo SC, Zimhony O, Chung WJ, Sayahi H, Jacobs WR, Welch JT."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2007	51	7	2546	2551	17452486	10.1128/aac.01550-06	Pharmacokinetics and tolerability of a higher rifampin dose versus the standard dose in pulmonary tuberculosis patients.	"Ruslami R, Nijland HM, Alisjahbana B, Parwati I, van Crevel R, Aarnoutse RE."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2008	43	5	1105	1113	17870211	10.1016/j.ejmech.2007.07.013	Synthesis and antimycobacterial evaluation of substituted pyrazinecarboxamides.	"Dolezal M, Dolezal M, Cmedlova P, Palek L, Vinsova J, Kunes J, Buchta V, Jampilek J, Kralova K."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	J. Med. Chem.	2008	51	21	6740	6751	18834112	10.1021/jm800656v	Quantitative structure-activity relationship and complex network approach to monoamine oxidase A and B inhibitors.	"Santana L, González-Díaz H, Quezada E, Uriarte E, Yáñez M, Viña D, Orallo F."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2008	52	11	4137	4140	18694944	10.1128/aac.00196-08	Metronidazole lacks antibacterial activity in guinea pigs infected with Mycobacterium tuberculosis.	"Hoff DR, Caraway ML, Brooks EJ, Driver ER, Ryan GJ, Peloquin CA, Orme IM, Basaraba RJ, Lenaerts AJ."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2008	52	5	1852	1854	18316515	10.1128/aac.00110-08	Pyrazinamide resistance and pncA gene mutations in Mycobacterium tuberculosis.	"Juréen P, Werngren J, Toro JC, Hoffner S."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2009	19	11	3006	3009	19403307	10.1016/j.bmcl.2009.04.029	"A microwave-assisted facile regioselective Fischer indole synthesis and antitubercular evaluation of novel 2-aryl-3,4-dihydro-2H-thieno[3,2-b]indoles."	"Karthikeyan SV, Perumal S, Shetty KA, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2009	44	11	4455	4460	19586686	10.1016/j.ejmech.2009.06.004	"Prediction of volume of distribution values in human using immobilized artificial membrane partitioning coefficients, the fraction of compound ionized and plasma protein binding data."	"Sui X, Sun J, Li H, Wang Y, Liu J, Liu X, Zhang W, Chen L, He Z."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2009	44	12	4954	4959	19765866	10.1016/j.ejmech.2009.08.009	Synthesis and antimycobacterial activity of N'-[(E)-(monosubstituted-benzylidene)]-2-pyrazinecarbohydrazide derivatives.	"Vergara FM, Lima CH, Henriques Md, Candéa AL, Lourenço MC, Ferreira Mde L, Kaiser CR, de Souza MV."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2009	44	12	4978	4984	19781824	10.1016/j.ejmech.2009.09.001	"L-proline-catalysed facile green protocol for the synthesis and antimycobacterial evaluation of [1,4]-thiazines."	"Indumathi S, Perumal S, Banerjee D, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2009	44	5	2081	2091	19028410	10.1016/j.ejmech.2008.10.011	Substituted quinolinyl chalcones and quinolinyl pyrimidines as a new class of anti-infective agents.	"Sharma M, Chaturvedi V, Manju YK, Bhatnagar S, Srivastava K, Puri SK, Chauhan PM."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Eur. J. Med. Chem.	2009	44	9	3821	3829	19524332	10.1016/j.ejmech.2009.05.010	A facile synthesis and antimycobacterial evaluation of novel spiro-pyrido-pyrrolizines and pyrrolidines.	"Ranjith Kumar R, Perumal S, Senthilkumar P, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2009	53	1	316	318	18955515	10.1128/aac.01302-08	Susceptibility of Mycobacterium bovis BCG vaccine strains to antituberculous antibiotics.	"Ritz N, Tebruegge M, Connell TG, Sievers A, Robins-Browne R, Curtis N."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2009	53	11	4598	4603	19704125	10.1128/aac.00643-09	New approach for drug susceptibility testing: monitoring the stress response of mycobacteria.	"Rieder RJ, Zhao Z, Zavizion B."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2009	53	8	3197	3204	19451303	10.1128/aac.01681-08	Pharmacokinetics-pharmacodynamics of pyrazinamide in a novel in vitro model of tuberculosis for sterilizing effect: a paradigm for faster assessment of new antituberculosis drugs.	"Gumbo T, Dona CS, Meek C, Leff R."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Antimicrob. Agents Chemother.	2009	53	9	4015	4018	19581465	10.1128/aac.00590-09	Role of porins in the susceptibility of Mycobacterium smegmatis and Mycobacterium chelonae to aldehyde-based disinfectants and drugs.	"Svetlíková Z, Skovierová H, Niederweis M, Gaillard JL, McDonnell G, Jackson M."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2010	20	1	350	353	19900810	10.1016/j.bmcl.2009.10.107	"A highly atom economic, chemo-, regio- and stereoselective synthesis and evaluation of spiro-pyrrolothiazoles as antitubercular agents."	"Karthikeyan SV, Bala BD, Raja VP, Perumal S, Yogeeswari P, Sriram D."
4350.9	1773	Mycobacterium tuberculosis	PYRAZINAMIDE	CHEMBL614	MN908947.3_281	Bioorg. Med. Chem. Lett.	2010	20	11	3352	3355	20434911	10.1016/j.bmcl.2010.04.025	"Selective one-pot multicomponent synthesis and anti-tubercular evaluation of 5-(aryl/cyclohexylsulfanyl)-2-alkoxy-4,6-diarylnicotinonitriles."	"Manikannan R, Muthusubramanian S, Yogeeswari P, Sriram D."
