orf	target	blast_score	hmmer_score	expect	evalue
Pf3D7_01_v3-1-12268-12462	CHEMBL5460	26.6	13.7	0.28	0.028
Pf3D7_01_v3-1-123952-124128	CHEMBL2096685	24.6	9.0	1.2	0.63
Pf3D7_01_v3-1-156583-158967	CHEMBL3738	32.0	6.5	0.53	0.75
Pf3D7_01_v3-1-165553-165840	CHEMBL2010625	31.6	14.8	0.017	0.015
Pf3D7_01_v3-1-165553-165840	CHEMBL2010624	31.6	14.8	0.015	0.016
Pf3D7_01_v3-1-165553-165840	CHEMBL2364103	31.6	14.2	0.014	0.024
Pf3D7_01_v3-1-175957-176373	CHEMBL1878	27.7	17.7	0.81	0.0011
Pf3D7_01_v3-1-175957-176373	CHEMBL5267	32.0	15.0	0.037	0.0081
Pf3D7_01_v3-1-175957-176373	CHEMBL2363965	26.9	12.7	1.5	0.041
Pf3D7_01_v3-1-175957-176373	CHEMBL4903	27.7	11.1	0.75	0.13
Pf3D7_01_v3-1-178063-178884	CHEMBL2095201	31.2	11.2	0.25	0.071
Pf3D7_01_v3-1-186082-186291	CHEMBL1907600	28.5	9.8	0.087	0.47
Pf3D7_01_v3-1-197359-197568	CHEMBL2111447	23.1	8.9	6.3	0.97
Pf3D7_01_v3-1-197359-197568	CHEMBL5067	23.5	8.8	4.5	1.1
Pf3D7_01_v3-1-229213-229458	CHEMBL5331	25.4	7.4	1.9	3.2
Pf3D7_01_v3-1-235027-235254	CHEMBL2029196	26.6	13.9	0.45	0.027
Pf3D7_01_v3-1-235027-235254	CHEMBL2029197	26.6	12.3	0.55	0.087
Pf3D7_01_v3-1-255157-255453	CHEMBL4005	26.2	10.9	1.2	0.16
Pf3D7_01_v3-1-290326-292587	CHEMBL2111455	52.8	209.7	0.00000009	0.000000000000000000000000000000000000000000000000000000000000031
Pf3D7_01_v3-1-290326-292587	CHEMBL1641358	46.2	191.4	0.000009	0.000000000000000000000000000000000000000000000000000000011
Pf3D7_01_v3-1-294145-294345	CHEMBL2409	35.0	124.0	0.0003	0.00000000000000000000000000000000000071
Pf3D7_01_v3-1-294145-294345	CHEMBL2791	35.0	124.0	0.0003	0.00000000000000000000000000000000000071
Pf3D7_01_v3-1-294145-294345	CHEMBL1163108	36.6	114.1	0.00008	0.00000000000000000000000000000000087
Pf3D7_01_v3-1-294145-294345	CHEMBL4576	27.3	84.6	0.19	0.0000000000000000000000015
Pf3D7_01_v3-1-294145-294345	CHEMBL1250375	34.7	76.4	0.0004	0.00000000000000000000051
Pf3D7_01_v3-1-294145-294345	CHEMBL279	27.7	74.6	0.13	0.0000000000000000000019
Pf3D7_01_v3-1-294145-294345	CHEMBL2364024	31.2	61.3	0.003	0.000000000000000027
Pf3D7_01_v3-1-294145-294345	CHEMBL4035	31.6	33.1	0.006	0.000000017
Pf3D7_01_v3-1-299245-299394	CHEMBL1293224	22.7	11.9	4.2	0.092
Pf3D7_01_v3-1-310813-311013	CHEMBL3183	28.1	13.3	0.10	0.041
Pf3D7_01_v3-1-333037-333210	CHEMBL2345	26.2	7.3	0.36	3.4
Pf3D7_01_v3-1-333520-333669	CHEMBL3146	25.8	12.6	0.31	0.068
Pf3D7_01_v3-1-334945-335196	CHEMBL5958	23.9	13.6	6.0	0.035
Pf3D7_01_v3-1-334945-335196	CHEMBL2529	24.3	13.6	4.3	0.035
Pf3D7_01_v3-1-334945-335196	CHEMBL4090	23.9	13.6	6.0	0.035
Pf3D7_01_v3-1-358870-359226	CHEMBL3171	24.3	12.6	9.0	0.043
Pf3D7_01_v3-1-378145-378339	CHEMBL3154	26.9	6.7	0.24	4.2
Pf3D7_01_v3-1-379408-379659	CHEMBL1949487	27.3	16.5	0.33	0.0045
Pf3D7_01_v3-1-379408-379659	CHEMBL1938225	24.6	9.1	2.4	0.96
Pf3D7_01_v3-1-383206-383724	CHEMBL2328	25.8	13.0	5.6	0.028
Pf3D7_01_v3-1-383206-383724	CHEMBL1075269	25.8	13.0	6.0	0.028
Pf3D7_01_v3-1-391693-392052	CHEMBL2365	32.7	14.2	0.011	0.017
Pf3D7_01_v3-1-391693-392052	CHEMBL1641338	31.6	13.4	0.027	0.031
Pf3D7_01_v3-1-393382-393543	CHEMBL2307	29.3	7.8	0.027	2.2
Pf3D7_01_v3-1-405721-410151	CHEMBL3089	39.7	100.3	0.004	0.000000000000000000000000000022
Pf3D7_01_v3-1-405721-410151	CHEMBL1932908	38.9	98.9	0.007	0.00000000000000000000000000006
Pf3D7_01_v3-1-405721-410151	CHEMBL2040	58.9	89.4	0.000000005	0.000000000000000000000000043
Pf3D7_01_v3-1-405721-410151	CHEMBL279	32.0	84.8	1.0	0.0000000000000000000000011
Pf3D7_01_v3-1-405721-410151	CHEMBL2900	34.7	77.9	0.15	0.00000000000000000000013
Pf3D7_01_v3-1-405721-410151	CHEMBL2111429	50.4	73.0	0.0000009	0.000000000000000000004
Pf3D7_01_v3-1-405721-410151	CHEMBL1287601	34.7	70.9	0.059	0.000000000000000000017
Pf3D7_01_v3-1-405721-410151	CHEMBL5108	31.2	62.4	0.81	0.0000000000000000063
Pf3D7_01_v3-1-405721-410151	CHEMBL4035	32.7	36.7	0.72	0.00000000035
Pf3D7_01_v3-1-410230-410586	CHEMBL2040	35.4	17.5	0.001	0.0014
Pf3D7_01_v3-1-420154-420321	CHEMBL2364022	26.2	14.6	0.30	0.018
Pf3D7_01_v3-1-435373-435543	CHEMBL2363032	23.5	9.6	3.1	0.57
Pf3D7_01_v3-1-481828-482016	CHEMBL3888	25.8	14.5	0.63	0.017
Pf3D7_01_v3-1-481828-482016	CHEMBL1287596	25.8	14.4	0.65	0.019
Pf3D7_01_v3-1-488362-488574	CHEMBL2034804	28.5	7.1	0.079	3.8
Pf3D7_01_v3-1-502456-502653	CHEMBL1293245	24.6	10.5	1.8	0.31
Pf3D7_01_v3-1-502456-502653	CHEMBL1914269	24.6	10.5	1.7	0.31
